original_image,mask_file,crop_file,x,y,width,height,yolo_confidence,coverage,classifier_confidence,predicted_condition,quality_score,latitude,longitude
1211491317163978.jpg,1211491317163978_0.png,crops/1211491317163978_0.png,1240,281,106,187,0.983747,0.0044695536295572,0.9990509152412416,good,1.0,27.672971094767,85.412139057873
1211491317163978.jpg,1211491317163978_1.png,crops/1211491317163978_1.png,1313,861,123,292,0.980725,0.0077298482259114,0.9960979223251344,good,1.0,27.672971094767,85.412139057873
1211491317163978.jpg,1211491317163978_2.png,crops/1211491317163978_2.png,1288,538,93,225,0.97154,0.0054426193237304,0.9991445541381836,good,1.0,27.672971094767,85.412139057873
1211491317163978.jpg,1211491317163978_3.png,crops/1211491317163978_3.png,1372,1295,138,240,0.922678,0.0070470174153645,0.9961934089660645,good,1.0,27.672971094767,85.412139057873
1211491317163978.jpg,1211491317163978_4.png,crops/1211491317163978_4.png,1224,58,98,161,0.813406,0.0036710103352864,0.9998658895492554,good,1.0,27.672971094767,85.412139057873
1211491317163978.jpg,1211491317163978_5.png,crops/1211491317163978_5.png,91,823,119,30,0.415997,0.0017687479654947,0.9187446236610411,good,1.0,27.672971094767,85.412139057873
1215109599988670.jpg,1215109599988670_0.png,crops/1215109599988670_0.png,613,160,132,69,0.969569,0.0025234222412109,0.9995444416999816,good,1.0,27.671336795849,85.420099089304
1215109599988670.jpg,1215109599988670_1.png,crops/1215109599988670_1.png,581,430,151,95,0.92766,0.0040302276611328,0.995215654373169,good,1.0,27.671336795849,85.420099089304
1303859174006775.jpg,1303859174006775_0.png,crops/1303859174006775_0.png,994,761,143,121,0.986502,0.004731814066569,0.9949701428413392,good,1.0,27.679565176171,85.400643221994
1303859174006775.jpg,1303859174006775_1.png,crops/1303859174006775_1.png,1001,573,121,107,0.983085,0.0038709640502929,0.9889947772026062,good,1.0,27.679565176171,85.400643221994
1303859174006775.jpg,1303859174006775_2.png,crops/1303859174006775_2.png,989,996,141,151,0.931917,0.0065927505493164,0.6895887851715088,good,1.0,27.679565176171,85.400643221994
